question,option1,option2,option3,option4,correct,topic (optional),
"A pen tester is configuring a Windows laptop for a test. In setting up Wireshark, what river and library are required to allow the NIC to work in promiscuous mode?",A. Libpcap,B. Awinpcap,C. Winprom,D. Winpcap,D. Winpcap,Wireshark,
At what stage of the cyber kill chain theory model does data exfiltration occur?,A. Actions on objectives,B. Weaponization,C. installation,D. Command and control,A. Actions on objectives,Cyber Kill Chain,
Which of the following tactics uses malicious code to redirect users' web traffic?,A. Spimming,B. Pharming,C. Phishing,D. Spear-phishing,B. Pharming,Pharming,
"What is the way to decide how a packet will move from an untrusted outside host to a protected inside that is behind a firewall, which permits the hacker to determine which ports are open and if the packets can pass through the packet-filtering of the firewall?",A. Session hijacking,B. Firewalking,C. Man-in-the middle attack,D. Network sniffing,B. Firewalking,Firewalking,
What does the –oX flag do in an Nmap scan?,A. Perform an eXpress scan,B. Output the results in truncated format to the screen,C. Output the results in XML format to a file,D. Perform an Xmas scan,C. Output the results in XML format to a file,Nmap,
Which of the following describes the characteristics of a Boot Sector Virus?,A. Modifies directory table entries so that directory entries point to the virus code instead of the actual program,B. Moves the MBR to another location on the RAM and copies itself to the original location of the MBR,C. Moves the MBR to another location on the hard disk and copies itself to the original location of the MBR.,D. Overwrites the original MBR and only executes the new virus code,C. Moves the MBR to another location on the hard disk and copies itself to the original location of the MBR.,Virus,
"Chandler works as a pen-tester in an IT-firm in New York. As a part of detecting viruses in the systems, he uses a detection method where the anti-virus executes the malicious codes on a virtual machine to simulate CPU and memory activities. Which type of virus detection method did Chandler use in this context?",A. Heuristic Analysis,B. Code Emulation,C. Scanning,D. Integrity checking,B. Code Emulation,Antivirus,
Which of the following Linux commands will resolve a domain name into IP address?,A. >host-t a hackeddomain.com,B. >host-t ns hackeddomain.com,C. >host-t soa hackeddomain.com,D. >host-t AXFR hackeddomain.com,A. >host-t a hackeddomain.com,Linux,
When a security analyst prepares for the formal security assessment - what of the following should be done in order to determine inconsistencies in the secure assets database and verify that system is compliant to the minimum security baseline?,A. Data items and vulnerability scanning,B. Interviewing employees and network engineers,C. Reviewing the firewalls configuration,D. Source code review,A. Data items and vulnerability scanning,Assessment,
"George is a security professional working for iTech Solutions. He was tasked with securely transferring sensitive data of the organization between industrial systems. In this process, he used a short-range communication protocol based on the IEEE 203.15.4 standard. This protocol is used in devices that transfer data infrequently at a low rate in a restricted area, within a range of 10-100 m. What is the short-range wireless communication technology George employed in the a above scenario?",A. MQTT,B. LPWAN,C. Zigbee,D. NB-IoT,C. Zigbee,IoT,
What does a firewall check to prevent particular ports and applications from getting packets into an organization?,A. Transport layer port numbers and application layer headers,B. Presentation layer headers and the session layer port numbers,C. Network layer headers and the session layer port numbers,D. Application layer port numbers and the transport layer headers,A. Transport layer port numbers and application layer headers,Firewalls,
"Bob received this text message on his mobile phone: “Hello, this is Scott Smelby from the Yahoo Bank. Kindly contact me for a vital transaction on: scottsmelby@yahoo.com”. Which statement below is true?","A. This is a scam as everybody can get a @yahoo address, not the Yahoo customer service employees",B. This is a scam because Bob does not know Scott,C. Bob should write to scottmelby@yahoo.com to verify the identity of Scott.,D. This is probably a legitimate message as it comes from a respectable organization.,"A. This is a scam as everybody can get a @yahoo address, not the Yahoo customer service employees",Phishing,
What piece of hardware on a computer's motherboard generates encryption keys and only releases a part of the key so that decrypting a disk on a new piece of hardware is not possible?,A. CPU,B. GPU,C. UEFI,D. TPM,D. TPM,Hardware Security,
"Jane invites her friends Alice and John over for a LAN party. Alice and John access Jane's wireless network without a password. However. Jane has a long, complex password on her router. What attack has likely occurred?",A. Wireless sniffing,B. Piggybacking,C. Evil twin,D. Wardriving,B. Piggybacking,Wireless Attacks,
What port number is used by LDAP protocol?,A. 110,B. 389,C. 464,D. 445,B. 389,Ports,
Which iOS jailbreaking technique patches the kernel during the device boot so that it becomes jailbroken after each successive reboot?,A. Tethered jailbreaking,B. Semi-tethered jailbreaking,C. Untethered jailbreaking,D. Semi-Untethered jailbreaking,C. Untethered jailbreaking,Jailbreaking,
Identify the correct terminology that defines the above statement.,A. Vulnerability Scanning,B. Penetration Testing,C. Security Policy Implementation,D. Designing Network Security,B. Penetration Testing,Penetration Testing,
